"","row","col","geo","dep","sal","env","nut","enz","bac.repl","bac.rich","bac.sor","bac.repl.wt","bac.rich.wt","bac.sor.wt","fun.repl","fun.rich","fun.sor","fun.repl.wt","fun.rich.wt","fun.sor.wt"
"32","Site33","Site1",0.524370886701924,25,6.29174231146463,3.29559614126984,3.43003930289924,0.944583868056682,0.371571326603446,0.128173753441419,0.499745080044866,0.482797526138554,0.0474872032698717,0.530284729408426,0.382417582417582,0.173626373626374,0.556043956043956,0.637889472548032,0.0841368640713823,0.722026336619414
"33","Site34","Site1",0.524370886701924,45,6.59729777225209,3.49168745455629,3.94482483920211,1.31999998861657,0.348327099969676,0.135752552309714,0.484079652279389,0.506065611983258,0.0224618513376102,0.528527463320868,0.444331983805668,0.0809716599190283,0.525303643724696,0.453497939993778,0.0513446010973131,0.504842541091091
"34","Site35","Site1",0.524370886701924,65,6.88805210688951,3.4179754983008,4.25939298418248,3.19019230508323,0.368512999691707,0.121364710718323,0.48987771041003,0.583902394914783,0.0136340345154409,0.597536429430224,0.498483316481294,0.0798786653185035,0.578361981799798,0.752125313038084,0.0693406703712188,0.821465983409303
"35","Site36","Site1",0.524370886701924,85,6.8091858353477,4.10354994771414,4.0566466875177,3.7939671658775,0.426947007080026,0.0828148465994422,0.509761853679468,0.664381354194134,0.0147047812513225,0.679086135445457,0.535980148883375,0.0600496277915633,0.596029776674938,0.779925851432688,0.0954325082929319,0.87535835972562
"36","Site37","Site1",0.777960676922913,0,5.29071712672036,2.17898120213996,2.47271868394299,1.5668227746848,0.390789812194494,0.0998199125289426,0.490609724723437,0.390393844889727,0.130411398905675,0.520805243795402,0.359426681367144,0.177508269018743,0.536934950385888,0.567505039866732,0.0549148546972141,0.622419894563946
"37","Site38","Site1",0.777960676922913,10,7.17897669374626,3.29360461611708,3.40668596426677,0.367938130532298,0.473261729790842,0.033352176370831,0.506613906161673,0.565156235280359,0.0168108447002797,0.581967079980639,0.417077175697865,0.169129720853859,0.586206896551724,0.843950915761213,0.016516031092307,0.86046694685352
"38","Site39","Site1",0.777960676922913,25,6.74311905530346,6.26817088374792,3.68703591946276,1.64916400245229,0.481887670322366,0.0528414755732802,0.534729145895646,0.397546025033873,0.212881548115958,0.610427573149831,0.466666666666667,0.0787878787878788,0.545454545454545,0.627376856024128,0.002237852544557,0.629614708568685
"39","Site40","Site1",0.777960676922913,45,7.29521676390483,6.32427338870232,4.01065493409588,1.74597494645284,0.518132201334142,0.0369921164342025,0.555124317768344,0.479139403349229,0.160857269601863,0.639996672951092,0.434273549760511,0.136774880255455,0.571048430015966,0.665575323091011,0.133962423911714,0.799537747002725
"40","Site41","Site1",0.777960676922913,65,7.69735543502344,6.0780231864759,4.3732586872534,1.30624082685754,0.539194307356823,0.0187076781820269,0.55790198553885,0.664703883325552,0.0387379747760108,0.703441858101563,0.461701003697834,0.128367670364501,0.590068674062335,0.671956723748838,0.200019912385504,0.871976636134342
"41","Site42","Site1",0.777960676922913,85,7.90900923672671,6.24949660547776,4.40882203294561,1.94825815137995,0.531930160248744,0.0224826596508012,0.554412819899546,0.458416154680159,0.145447461149259,0.603863615829418,0.536051715564396,0.0621581302834411,0.598209845847837,0.502636251507882,0.183168652326543,0.685804903834424
"42","Site43","Site1",0.777959081459307,0,6.63210253141766,3.10751991961608,1.97097101334831,3.58888879469269,0.493774900398406,0.06449203187251,0.558266932270916,0.500853270871675,0.0127555629914673,0.513608833863142,0.308523409363746,0.282112845138055,0.590636254501801,0.327677943359333,0.120510937369268,0.4481888807286
"43","Site44","Site1",0.777959081459307,10,6.67123404615968,3.12760059907237,1.90404690670798,2.12797491376975,0.522819649285797,0.00708396237370805,0.529903611659505,0.412114049125692,0.110914536565312,0.523028585691004,0.194425560842964,0.452073419442556,0.64649898028552,0.481139532031452,0.231892451724561,0.713031983756013
"44","Site45","Site1",0.777959081459307,25,7.93977454920061,5.1291940441958,3.34039727201258,2.77016846037555,0.514173518223095,0.0492084918394895,0.563382010062584,0.501837325612003,0.0622514696850048,0.564088795297008,0.237558062375581,0.417385534173855,0.654943596549436,0.543751179228168,0.3119911176906,0.855742296918767
"45","Site46","Site1",0.777959081459307,45,7.89065307705502,4.57103022905799,3.7678156079675,1.51339111662533,0.504233067729084,0.06449203187251,0.568725099601594,0.526603192383086,0.0368689697309132,0.563472162113999,0.332329921733895,0.285972305839856,0.618302227573751,0.31488479224899,0.481962671213227,0.796847463462216
"46","Site47","Site1",0.777959081459307,65,7.92274675895745,4.53211108229396,4.16850800442353,1.04078779360799,0.521288411699371,0.0551647537948908,0.576453165494261,0.55516569940194,0.043286677034733,0.598452376436673,0.328211432083589,0.312845728334358,0.641057160417947,0.659016382415557,0.216119409008815,0.875135791424372
"47","Site48","Site1",0.777959081459307,85,7.87703966128932,5.16455041062716,4.99906746150614,2.1472959652048,0.575032114912998,0.00151815952353147,0.576550274436529,0.532337409510043,0.117942949069163,0.650280358579206,0.408209806157355,0.217787913340935,0.62599771949829,0.647783184644498,0.221918085969181,0.869701270613679
"48","Site49","Site1",1.79074963906134,0,7.5896696812573,4.96295831655555,3.45897574788097,1.51270299937077,0.316852577630389,0.288815194452819,0.605667772083208,0.570563127230682,0.0477482872859324,0.618311414516615,0.280503144654088,0.343396226415094,0.623899371069182,0.590924905586377,0.143685831946913,0.73461073753329
"49","Site50","Site1",1.79074963906134,10,7.79639345160563,4.9699164985534,3.21452851974586,1.89078423028952,0.525948223961469,0.0295003010234798,0.555448524984949,0.461603998162404,0.157317667367366,0.61892166552977,0.418818129661503,0.225473321858864,0.644291451520367,0.885436109841048,0.0274871574191119,0.91292326726016
"50","Site51","Site1",1.79074963906134,25,7.56762774852644,4.6934632650518,4.49022208814984,1.32747301190259,0.527382894430203,0.00372873456070846,0.531111628990911,0.564214737020651,0.0695223825745261,0.633737119595177,0.351979886863608,0.342551854179761,0.694531741043369,0.870335810082417,0.0478561244479477,0.918191934530364
"51","Site52","Site1",1.79074963906134,45,7.87688468152154,5.57291924797019,4.64900982153116,2.00534080521432,0.526786712895649,0.0437311262722291,0.570517839167878,0.661398008057085,0.0481758344052003,0.709573842462285,0.436578171091445,0.260176991150442,0.696755162241888,0.807147035760073,0.125172701360451,0.932319737120524
"52","Site53","Site1",1.79074963906134,65,8.03545121257826,5.52380641326087,4.92122920735848,1.5274105443718,0.526543139706718,0.0280777537796976,0.554620893486416,0.607713518099548,0.108391072775264,0.716104590874811,0.505458515283843,0.165938864628821,0.671397379912664,0.900100576123388,0.0404400935172187,0.940540669640606
"53","Site54","Site1",1.79074963906134,85,8.37506078196334,5.3971398494972,4.67758440393845,1.7197024447682,0.564987671715393,0.00387460373370905,0.568862275449102,0.605531698246857,0.16254759164158,0.768079289888436,0.418926716676284,0.232544720138488,0.651471436814772,0.827836749295323,0.115116788276147,0.94295353757147
"54","Site55","Site1",1.84057414284587,0,7.10627447222895,4.22059616360284,3.35584947344051,0.923835539711314,0.435746901500326,0.11545988258317,0.551206784083496,0.54334921554175,0.00408681688954407,0.547436032431294,0.508029197080292,0.0394160583941606,0.547445255474453,0.275012576853214,0.305700098694695,0.580712675547909
"55","Site56","Site1",1.84057414284587,10,7.05093580242377,4.41214183461916,3.60540981968763,1.53156541844063,0.499943801281331,0.0390019107564348,0.538945712037766,0.532776185633725,0.119208653046131,0.651984838679856,0.440866185452526,0.186007773459189,0.626873958911716,0.791408002504043,0.0568365590275966,0.84824456153164
"56","Site57","Site1",1.84057414284587,25,6.99918225244189,5.3639135093282,3.81788952623866,1.20601233156876,0.495882483863788,0.0485199198753617,0.54440240373915,0.597211644462064,0.0525433572245812,0.649755001686646,0.507905138339921,0.0553359683794466,0.563241106719368,0.623544834819088,0.0519402202412166,0.675485055060304
"57","Site58","Site1",1.84057414284587,45,7.27954384466175,5.8085939951327,4.50203652593558,1.2207643516785,0.571493521254831,0.0281882245964992,0.59968174585133,0.685618945301076,0.0683051614432463,0.753924106744323,0.462408140192199,0.207461842849067,0.669869983041266,0.873993182466962,0.0119670653822688,0.885960247849231
"58","Site59","Site1",1.84057414284587,65,7.98404792960274,5.50169052718607,5.05077930167268,0.912392347690917,0.533646709549728,0.057644730331519,0.591291439881247,0.744777505361115,0.0109694099098798,0.755746915270995,0.429398148148148,0.236111111111111,0.665509259259259,0.855534790498632,0.020638660924677,0.876173451423309
"59","Site60","Site1",1.84057414284587,85,8.08370205484454,5.90460978621176,5.10991791964483,1.18693500509717,0.567198704603285,0.0111034004163775,0.578302105019662,0.633422069124153,0.150992036219911,0.784414105344064,0.442374854481956,0.243306169965076,0.685681024447031,0.88639711327436,0.0262955931655693,0.91269270643993
"60","Site3","Site2",0,15,4.08268164851056,0.823986357437788,1.65509847149571,0.393168741234176,0.269390751162222,0.0464888671397113,0.315879618301933,0.186359498349117,0.0609060151908366,0.247265513539954,0.387096774193548,0.00716845878136201,0.39426523297491,0.274801709793684,0.147502043168175,0.422303752961859
"61","Site4","Site2",0,35,4.69117035467213,1.60125704643251,1.79499437264232,1.19335429985929,0.254280603117812,0.0930232558139535,0.347303858931766,0.312078276137716,0.0349596646106265,0.347037940748343,0.381424148606811,0.0439628482972136,0.425386996904025,0.405882539380685,0.116324137337734,0.52220667671842
"62","Site5","Site2",0,55,4.68473901919449,1.73178139303886,1.81610684677395,2.48944858134777,0.263854956924264,0.0999099909990999,0.363764947923364,0.317977080985645,0.0755551691506188,0.393532250136263,0.428486646884273,0.000593471810089021,0.429080118694362,0.433298731961491,0.205528077995563,0.638826809957054
"63","Site6","Site2",0,75,4.57485662504413,1.72946919340629,1.82605973581751,2.10985937761105,0.268660564651283,0.102745906922779,0.371406471574062,0.324123846091006,0.0966162895188302,0.420740135609836,0.409506398537477,0.0274223034734918,0.436928702010969,0.386542942976668,0.31505320493023,0.701596147906898
"64","Site7","Site2",0.107501664664997,10,3.40152667647195,5.60792001895748,2.66273656855832,7.64786256776546,0.307049467583232,0.152985577571101,0.460035045154333,0.494972224697739,0.0265647743813683,0.521536999079108,0.583090379008746,0.0169096209912536,0.6,0.349103783320368,0.483581268092358,0.832685051412725
"65","Site8","Site2",0.107501664664997,0,0.740925202168949,2.73225246031931,1.54896554722243,3.554836831692,0.283487450462351,0.12998678996037,0.413474240422721,0.326241246052141,0.084638170155168,0.410879416207309,0.560960960960961,0.0126126126126126,0.573573573573574,0.385408681049903,0.406277759524939,0.791686440574843
"66","Site9","Site2",0.107501664664997,15,5.83677590331393,3.82835415110944,4.82952539892768,3.59542831995761,0.351990049751244,0.0639303482587065,0.41592039800995,0.382319495624136,0.00514595808383234,0.387465453707969,0.555490993608367,0.0203370133643231,0.57582800697269,0.276998899031086,0.404787537397871,0.681786436428957
"67","Site10","Site2",0.107501664664997,35,4.27025142082701,2.96113356431359,1.28565743456067,1.32089514940309,0.359316067387478,0.0754337440281619,0.43474981141564,0.350154962582206,0.0448937939375614,0.395048756519767,0.54357099329677,0.0274223034734918,0.570993296770262,0.433843274782622,0.257658630841441,0.691501905624063
"68","Site11","Site2",0.107501664664997,55,3.31297464256774,2.96541612743513,0.86618593182854,2.00107726331082,0.352595994387039,0.0912106135986733,0.443806607985712,0.392306140785155,0.0138364779874214,0.406142618772576,0.542227662178703,0.0318237454100367,0.574051407588739,0.469455788301305,0.253030308829327,0.722486097130631
"69","Site12","Site2",0.107501664664997,75,4.16540201078705,1.92105965002077,1.62361738086146,1.11885314681287,0.378505832712832,0.0615537354182179,0.44005956813105,0.36941086019236,0.0419166641541291,0.411327524346489,0.532341156267888,0.0349170005724098,0.567258156840298,0.335649311789348,0.416020347097546,0.751669658886894
"70","Site13","Site2",0.206798682279277,10,2.70333121131472,2.48243148088474,1.26453115846109,1.90516905970406,0.347765942730668,0.183289528288837,0.531055471019505,0.523026668915914,0.0599245479779778,0.582951216893892,0.558740865654862,0.0522765598650927,0.611017425519955,0.34691581316116,0.486934530694652,0.833850343855812
"71","Site14","Site2",0.206798682279277,0,3.35260759852957,1.45154101558004,0.639256087469259,1.94202066027813,0.336028024791161,0.152519536513069,0.488547561304231,0.272007873492133,0.225613675759309,0.497621549251442,0.509090909090909,0.0570532915360502,0.566144200626959,0.327011560065655,0.426941383390737,0.753952943456392
"72","Site15","Site2",0.206798682279277,15,3.57657091315778,1.27884608828493,1.50644682560624,1.36570531284148,0.38530990727184,0.0436798438262567,0.428989751098097,0.295702491228351,0.104780249202759,0.40048274043111,0.551487414187643,0.0354691075514874,0.58695652173913,0.368422634432516,0.413443852710289,0.781866487142806
"73","Site16","Site2",0.206798682279277,35,4.00228005227956,1.66070139767087,1.72017965304417,1.18099214441634,0.423378474697078,0.0161558564979805,0.439534331195058,0.402135972020814,0.0566987972362023,0.458834769257016,0.552995391705069,0.0288018433179724,0.581797235023041,0.290092863882406,0.515404479316681,0.805497343199086
"74","Site17","Site2",0.206798682279277,55,5.23580798783505,2.11279449456401,1.52109093829852,1.53134900194207,0.334641548927263,0.119047619047619,0.453689167974882,0.385020873668925,0.0454153557599226,0.430436229428848,0.546107784431138,0.00958083832335329,0.555688622754491,0.34435349975241,0.431516705018788,0.775870204771198
"75","Site18","Site2",0.206798682279277,75,5.32214762126977,2.16132641238626,1.19139349727792,1.98253183004704,0.331299493703752,0.110476437751525,0.441775931455277,0.437990446337406,0.0130095465223383,0.450999992859744,0.507273877292853,0.0664136622390892,0.573687539531942,0.548338520228893,0.183624468761503,0.731962988990396
"76","Site19","Site2",0.206757905278401,10,4.56644455173988,2.38832351676201,1.08720564679846,0.93502668670528,0.306831566548881,0.25942285041225,0.566254416961131,0.477465210533671,0.103911194521533,0.581376405055204,0.61826981246219,0.0199637023593466,0.638233514821537,0.446437033477064,0.344083455722961,0.790520489200025
"77","Site20","Site2",0.206757905278401,0,4.36486201215457,1.81483808773979,0.93915095721414,0.845794794737216,0.349436168731728,0.19086732562996,0.540303494361687,0.469659111190434,0.12138789284961,0.591047004040044,0.573996405032954,0.0101857399640503,0.584182144997004,0.464266636678006,0.314128876268661,0.778395512946667
"78","Site21","Site2",0.206757905278401,15,3.35107028272521,2.62253458066064,1.10584101655854,0.934617862330633,0.374470338983051,0.132680084745763,0.507150423728814,0.395621877356224,0.145313237938206,0.54093511529443,0.578443113772455,0.00958083832335329,0.588023952095808,0.471663272828126,0.287782911110625,0.75944618393875
"79","Site22","Site2",0.206757905278401,35,3.83086716041132,2.96983033394727,1.00348170490924,0.876209334451117,0.338733043592783,0.126563940471487,0.46529698406427,0.314679538577455,0.113901099565251,0.428580638142706,0.570722668313774,0.0413835701050031,0.612106238418777,0.310078275840437,0.319822676991921,0.629900952832359
